Major event no.,Start Date,Duration (days),Rainfall (mm),Intensity (mm/24-hr),Samples collected,mean DOC (mg/L),mean_SAC254,mean SUVA,mean E2E3
1,2018-10-27,6.1,124.435,20.24705084745763,19,9.094736842105263,29.126984375,3.24260497366173,4.341589472419136
2,2018-11-03,0.9,54.805,60.47448275862069,18,6.396055555555556,25.1466088235294,4.302131028075136,4.200205296317301
3,2018-11-25,3.6,156.055,43.93337243401759,34,6.231617647058823,27.9317166666667,4.678845263158317,4.176856816898582
4,2018-12-09,4.9,205.08,41.62300211416491,18,5.884888888888889,NaN,NaN,NaN
7,2019-01-02,4.2,227.595,54.21617866004962,22,4.682772727272727,NaN,NaN,NaN
8,2019-01-17,3,68.73,22.83072664359862,3,2.9723333333333333,NaN,NaN,NaN
9,2019-09-12,3.1,58.4,18.7505016722408,14,9.9655,16.7525333333333,1.8525288091457917,4.824239555220437
10,2019-10-15,6.4,136.22,21.332985318107667,44,6.730954545454545,19.7444857142857,3.570718502315101,4.534816525636711
11,2019-11-15,2.3,67.595,29.09919282511211,28,6.439607142857143,22.8415384615385,3.6355711581790815,4.5067422462069135
12,2019-12-10,3.1,70.45,22.84864864864865,25,5.3046,18.8981818181818,3.6933613635430946,4.507043103452038
13,2019-12-18,4.1,112.065,27.656143958868896,1,4.464,16.552,3.7078853046594977,4.614354403658966
15,2020-01-02,5.7,180.025,31.710825688073395,3,5.130333333333334,15.783,3.110954054698338,4.400693919710767
16,2020-01-18,9.9,238.315,24.00654774396642,8,4.106375,11.4175,3.0602045190251017,4.42721791196473
17,2020-01-30,1.9,208.765,111.34133333333332,5,4.4552,12.8233333333333,2.924012343340737,4.147765291459709
18,2020-02-05,3.4,75.925,22.427076923076925,10,3.7871,9.6094,3.091049204827301,4.481044788062239
